n00252894	purification
n00253070	purification
n00253270	purification
n00253395	catharsis
n00253577	catharsis
n00253773	high colonic
n00253919	sterilization
n00254166	pasteurization
n00254415	sanitation
n00254597	depilation
n00254769	shave
n00254922	tonsure
n00255065	electrolysis
n00255214	washup
n00255450	ablution
n00255600	dishwashing
n00255710	wash
n00256122	washing-up
n00256217	window-washing
n00256309	rinse
n00256407	rinse
n00256501	soak
n00256620	brush
n00256746	comb
n00256961	comb-out
n00257115	shampoo
n00257228	hair care
n00257468	hairweaving
n00257580	shower
n00257770	bath
n00257969	bubble bath
n00258093	mikvah
n00258301	mud bath
n00258403	sponge bath
n00258530	Turkish bath
n00258695	rubdown
n00258854	correction
n00259177	redress
n00259392	salve
n00259544	retribution
n00259643	recompense
n00259894	indemnification
n00260051	optimization
n00260494	perfection
n00260622	reform
n00260881	land reform
n00261029	amelioration
n00261258	self-improvement
n00261405	reform
n00261604	beautification
n00261797	beauty treatment
n00261972	glamorization
n00262249	decoration
n00262596	adornment
n00262743	ornamentation
n00262908	window dressing
n00263000	trimming
n00263164	tessellation
n00263272	figuration
n00263353	tattoo
n00263492	titivation
n00263642	marking
n00263813	lineation
n00263947	mottling
n00264088	striping
n00264192	clearing
n00264366	enrichment
n00264529	fortification
n00264775	humanization
n00264913	modernization
n00265119	renovation
n00265472	face lift
n00265773	moralization
n00265992	enhancement
n00266149	upturn
n00266253	worsening
n00266401	downturn
n00266560	downspin
n00266645	ventilation
n00266806	repair
n00267217	darning
n00267349	patching
n00267522	care
n00267821	camera care
n00267917	car care
n00268025	oil change
n00268112	overhaul
n00268341	interim overhaul
n00268457	band aid
n00268557	restoration
n00268824	gentrification
n00269018	reclamation
n00269258	reconstruction
n00269471	anastylosis
n00269674	makeover
n00269856	reassembly
n00269963	re-formation
n00270186	rebuilding
n00270275	restitution
n00270403	pump priming
n00270539	scheduled maintenance
n00270648	steam fitting
n00270800	coaching
n00270919	engagement
n00271155	gig
n00271263	degradation
n00271636	dehumanization
n00271879	brutalization
n00272123	barbarization
n00272303	bastardization
n00272448	corruption
n00272713	demoralization
n00272878	stultification
n00273077	popularization
n00273319	profanation
n00273449	humiliation
n00273601	comedown
n00273690	change of color
n00273877	whitening
n00274009	bleach
n00274206	etiolation
n00274437	blackening
n00274586	obfuscation
n00274707	discoloration
n00274941	coloring
n00275151	tinting
n00275307	hair coloring
n00275424	dyeing
n00275572	staining
n00275751	Gram's method
n00276189	environmentalism
n00276342	fixation
n00276620	soiling
n00276813	staining
n00276987	contamination
n00277267	dust contamination
n00277376	wetting
n00277569	submersion
n00277811	drenching
n00278040	moistening
n00278221	splash
n00278403	watering
n00278555	sprinkle
n00278810	chew
n00279136	chomping
n00279235	mumbling
n00279377	rumination
n00279534	bruxism
n00279674	defoliation
n00279835	motion
n00280586	movement
n00280853	approach
n00281132	access
n00281291	back door
n00281462	closing
n00281752	landing approach
n00281898	overshoot
n00282050	progress
n00282485	push
n00282613	career
n00282840	march
n00282953	plain sailing
n00283127	locomotion
n00283450	brachiation
n00283568	walk
n00283951	ambulation
n00284101	amble
n00284409	ramble
n00284544	constitutional
n00284665	foot
n00284798	walk
n00285141	sleepwalking
n00285387	sleep talking
n00285557	step
n00285889	pace
n00286112	pas
n00286240	trip
n00286360	sidestep
n00286497	gait
n00286756	hitch
n00286957	gait
n00287142	walk
n00287276	rack
n00287449	jog trot
n00287561	trot
n00287762	rising trot
n00287889	sitting trot
n00288000	dressage
n00288190	curvet
n00288384	piaffe
n00288486	canter
n00288671	gallop
n00288880	footstep
n00288970	hike
n00289175	trudge
n00289267	flounce
n00289388	lurch
n00289555	pacing
n00289659	roll
n00289737	saunter
n00289906	skip
n00290015	stalk
n00290125	strut
n00290276	lurch
n00290406	waddle
n00290579	march
n00291004	countermarch
n00291154	goose step
n00291286	last mile
n00291400	lockstep
n00291663	promenade
n00291796	quick march
n00291876	routemarch
n00291965	plodding
n00292125	prowl
n00292269	moonwalk
n00292386	perambulation
n00292599	turn
n00292712	shamble
n00292981	space walk
n00293125	moonwalk
n00293307	wading
n00293417	walkabout
n00293545	walkabout
n00293657	walkabout
n00293753	walk-through
n00293916	run
n00294190	jog
n00294366	dogtrot
n00294452	dash
n00294577	fast break
n00294748	break
n00294868	crawl
n00295172	lap
n00295422	pace lap
n00295563	victory lap
n00295701	travel
n00296263	circumnavigation
